PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked
107,0,1,Person_106,female,30.372945553545225,0,0,26.43,S
108,1,3,Person_107,female,,0,0,0.19,Q
109,0,2,Person_108,male,18.936346573477774,0,0,2.62,S
110,0,1,Person_109,male,39.43007438028194,2,2,68.19,S
111,0,3,Person_110,female,26.274237854366458,0,0,2.59,S
112,0,3,Person_111,male,28.101365520481032,0,0,39.26,C
113,1,3,Person_112,male,30.28453478227722,0,0,80.84,S
114,1,3,Person_113,female,32.531365549973486,0,0,10.1,S
115,1,3,Person_114,male,,0,2,14.81,S
116,1,3,Person_115,male,32.00598456438737,1,0,26.93,C
117,1,3,Person_116,male,51.09365280587058,0,0,68.31,S
118,0,2,Person_117,female,42.79629559861306,0,0,91.06,C
119,1,3,Person_118,male,41.168164294956554,0,0,43.05,S
120,0,1,Person_119,male,22.62244663566581,0,0,2.9,S
121,1,3,Person_120,female,16.55062840480346,1,0,35.4,S
122,1,3,Person_121,male,42.37420781532854,0,0,16.9,S
123,0,1,Person_122,female,41.26465509541712,1,0,20.36,S
124,0,3,Person_123,male,,0,0,1.61,C
125,0,3,Person_124,female,20.544271236430788,0,0,6.79,S
126,0,1,Person_125,male,25.786318824955142,2,2,50.02,S
127,1,3,Person_126,male,,0,0,19.36,S
128,1,3,Person_127,male,23.50540451514778,1,0,11.49,S
129,0,1,Person_128,male,42.95198714811226,0,0,15.51,S
130,0,3,Person_129,female,22.46906469080523,1,0,61.66,S
131,0,2,Person_130,female,37.96671713281153,0,0,44.23,S
132,0,3,Person_131,male,26.33295651603064,0,2,10.17,S
133,0,3,Person_132,male,33.53679839510185,1,0,4.0,Q
134,0,3,Person_133,female,12.932320542580658,2,2,9.29,S
135,1,3,Person_134,female,,1,0,81.13,C
136,0,3,Person_135,male,1.0,1,0,27.88,S
137,0,3,Person_136,male,26.38345378573221,1,2,24.4,S
138,1,2,Person_137,male,6.1733745879880395,0,0,29.03,S
139,0,3,Person_138,female,45.88392323165542,0,2,14.58,S
140,1,1,Person_139,male,39.88370293870316,0,0,52.66,C
141,1,3,Person_140,male,,0,2,23.71,S
142,0,1,Person_141,male,50.29408718023132,0,0,3.97,S
143,0,1,Person_142,female,15.715168708452278,0,0,4.42,C
144,0,1,Person_143,male,53.463084770817815,0,0,24.63,S
145,0,3,Person_144,male,,1,0,88.25,S
146,0,2,Person_145,male,,0,0,11.8,S
147,0,3,Person_146,male,44.898682060561214,0,0,65.17,C
148,0,1,Person_147,male,13.51189082623712,0,0,46.22,S
149,0,2,Person_148,male,17.45680173861257,1,0,9.11,S
150,0,3,Person_149,male,20.479743874644193,1,1,1.18,S
151,1,3,Person_150,male,21.594312087103788,0,0,3.44,Q
152,0,2,Person_151,male,14.208193001356461,0,0,41.72,S
153,0,3,Person_152,female,46.12316293933455,0,0,7.13,S
154,0,3,Person_153,female,25.376038394822356,0,0,14.85,S
155,1,3,Person_154,male,,0,0,22.29,Q
156,0,1,Person_155,female,21.01508087020847,0,0,41.37,C
157,1,1,Person_156,male,,0,2,3.85,
158,1,3,Person_157,male,32.78080301747991,0,1,16.69,S
159,0,1,Person_158,male,2.228430344123126,2,0,21.24,S
160,1,3,Person_159,male,,2,0,24.91,S
161,0,3,Person_160,female,9.843589456340652,0,0,54.58,C
162,1,3,Person_161,female,56.82186398923131,0,0,6.03,S
163,1,3,Person_162,female,41.759078110446104,0,0,52.78,S
164,0,3,Person_163,male,30.480553077800725,0,0,37.78,C
165,0,2,Person_164,male,,2,0,25.97,S
166,1,3,Person_165,male,17.151576315479698,0,0,38.48,S
167,0,2,Person_166,male,36.608711301381305,1,0,16.99,S
168,0,3,Person_167,male,31.797346072061988,0,2,4.77,S
169,0,3,Person_168,male,32.69628113867138,3,0,35.07,C
170,0,3,Person_169,male,46.81294900149475,0,1,23.8,S
171,1,3,Person_170,male,39.25488943891723,1,2,32.64,S
172,0,3,Person_171,female,33.042131279550325,0,0,13.2,S
173,0,2,Person_172,female,5.831575892803855,0,0,75.96,S
174,0,2,Person_173,female,15.559351866087507,0,0,28.33,S
175,1,3,Person_174,male,27.282074929659863,0,2,2.86,S
176,0,1,Person_175,male,30.307213239873118,2,2,19.12,S
177,1,1,Person_176,male,13.177147854565067,2,0,45.19,S
178,0,2,Person_177,female,62.7634734580979,1,0,50.58,S
179,1,2,Person_178,male,50.22951677355002,0,1,21.84,S
180,0,2,Person_179,male,,1,0,72.04,C
181,0,1,Person_180,female,30.008516057972425,0,1,9.97,S
182,0,1,Person_181,male,,0,2,16.92,C
183,1,1,Person_182,male,15.673141559688702,0,0,73.24,S
184,1,3,Person_183,male,30.084727259264074,0,0,72.51,S
185,0,2,Person_184,male,,0,0,37.04,S
186,1,2,Person_185,male,,0,0,62.68,S
187,1,3,Person_186,male,,0,0,2.97,S
188,0,1,Person_187,male,26.826373316453516,1,1,64.08,S
189,0,3,Person_188,male,2.2906941897165254,0,2,12.37,Q
190,0,3,Person_189,female,16.95460984908697,0,2,6.29,S
191,0,1,Person_190,male,23.20952253209698,0,0,8.76,S
192,1,2,Person_191,male,55.427627202762665,0,1,17.32,C
193,1,3,Person_192,male,36.791743743472615,0,0,9.26,S
194,1,3,Person_193,female,10.30325803260152,0,0,12.37,C
195,0,3,Person_194,male,35.804508051846916,0,0,4.64,S
196,0,3,Person_195,male,7.337744154862882,1,0,11.24,Q
197,1,1,Person_196,female,44.15767475441903,0,2,27.18,S
198,1,3,Person_197,female,22.4042548745497,1,0,18.66,S
199,1,1,Person_198,male,27.689093357651608,0,0,13.62,S
200,1,3,Person_199,female,47.56115306559066,0,0,43.91,S
201,1,3,Person_200,male,10.9797100398205,1,0,71.67,S
202,0,3,Person_201,male,9.440345408418121,0,0,45.24,S
203,0,3,Person_202,male,20.82960943115593,0,0,12.91,S
204,1,1,Person_203,male,43.53730391427043,1,0,43.66,S
205,0,1,Person_204,female,7.7291549433242075,0,0,5.28,C
206,0,1,Person_205,male,1.0,1,1,4.47,C
207,0,1,Person_206,male,,0,0,13.57,S
208,1,3,Person_207,female,36.724371198752884,1,0,52.76,S
209,0,2,Person_208,female,45.803664496343615,0,0,9.05,C
210,0,1,Person_209,male,22.515740930804412,0,0,2.09,S
211,0,3,Person_210,male,,0,0,4.52,C
212,1,3,Person_211,male,,0,0,62.63,Q
213,1,3,Person_212,female,2.8236162042641126,0,2,32.14,S
214,0,3,Person_213,female,23.56070914743787,0,0,9.34,C
215,1,1,Person_214,female,31.665934458950808,0,1,25.93,S
216,0,2,Person_215,male,35.28906209799048,0,2,24.0,S
217,0,3,Person_216,male,21.862706295327644,0,0,34.1,S
218,1,3,Person_217,male,29.48217416388178,2,0,8.5,S
219,1,1,Person_218,male,1.0,0,0,63.94,C
220,1,3,Person_219,male,19.78452222732612,0,2,11.84,S
221,1,1,Person_220,female,35.34912197576254,0,2,37.91,S
222,0,1,Person_221,male,,0,0,0.52,S
223,0,3,Person_222,male,29.825779102254362,2,1,14.92,S
224,0,3,Person_223,female,35.25621501123777,0,0,13.87,Q
225,0,3,Person_224,male,24.20431118799129,2,2,25.09,S
226,0,1,Person_225,female,31.386492793951994,0,2,2.42,S
227,1,3,Person_226,male,,1,0,49.96,S
228,0,2,Person_227,male,,0,0,7.86,S
229,1,1,Person_228,male,37.543026374249116,1,0,36.17,S
230,1,3,Person_229,male,,0,0,52.02,S
231,1,3,Person_230,female,20.7885622261049,0,1,26.41,S
232,0,3,Person_231,male,32.1390296600711,0,0,43.22,S
233,0,3,Person_232,male,,0,0,34.7,C
234,0,3,Person_233,male,1.0,2,0,14.06,S
235,0,3,Person_234,male,45.22703690938257,0,2,52.95,S
236,1,1,Person_235,female,24.292433658464994,0,0,11.17,S
237,0,2,Person_236,male,34.956859065363226,1,0,27.1,C
238,0,2,Person_237,female,45.761456931033194,0,0,43.78,C
239,1,2,Person_238,female,,2,2,15.24,C
240,0,3,Person_239,male,19.067825966014347,1,1,11.54,S
241,1,3,Person_240,female,24.960318257740134,0,0,19.68,
242,1,1,Person_241,male,18.027450704258,1,0,54.51,S
243,1,1,Person_242,male,53.289112061715315,0,0,85.06,S
244,0,3,Person_243,male,17.005190686424903,0,0,25.2,
245,0,1,Person_244,female,21.222345087183868,0,0,34.66,S
246,1,3,Person_245,female,31.861446442441675,0,2,74.75,S
247,0,3,Person_246,male,12.169906634934755,1,0,3.32,S
248,1,3,Person_247,female,23.460470035412307,2,1,8.45,S
249,1,3,Person_248,male,33.44434565750245,0,0,39.49,C
250,1,3,Person_249,male,24.339954338644844,0,0,55.55,S
251,0,2,Person_250,male,,2,0,62.24,S
252,0,3,Person_251,female,21.589350425722806,0,0,17.16,S
253,1,3,Person_252,male,7.797415671469263,0,0,2.99,S
254,0,2,Person_253,male,33.50230495874934,0,0,18.43,S
255,0,3,Person_254,male,53.56906300306138,1,0,8.39,S
256,0,3,Person_255,male,29.257622830968135,0,0,11.01,S
257,1,3,Person_256,male,32.15369764146569,1,0,47.35,S
258,1,3,Person_257,male,38.69811857163603,1,2,2.51,C
259,0,3,Person_258,female,11.229373048346211,0,0,56.25,S
260,0,3,Person_259,male,,0,1,17.86,S
261,0,3,Person_260,male,31.83260314991923,1,0,29.01,S
262,1,3,Person_261,male,51.84599658724753,0,1,3.01,S
263,0,3,Person_262,female,,1,0,13.17,C
264,0,3,Person_263,female,54.45286691580955,2,1,3.01,Q
265,1,3,Person_264,male,39.85217691648697,0,0,104.26,S
266,1,1,Person_265,female,36.742561201933015,1,0,52.69,C
267,1,3,Person_266,male,,1,0,19.7,S
268,1,3,Person_267,male,25.52059934695771,1,0,8.1,S
269,0,1,Person_268,male,45.80744321863422,0,0,86.72,S
270,0,3,Person_269,male,30.965038177872657,0,0,13.52,S
271,1,1,Person_270,male,1.4610241497798668,0,0,5.62,S
272,1,2,Person_271,female,13.359389536101967,0,1,26.5,C
273,1,3,Person_272,female,,0,0,92.11,S
274,1,1,Person_273,female,33.339985764317774,1,0,0.12,C
275,0,3,Person_274,male,28.207761155401457,0,0,8.7,C
276,0,3,Person_275,male,46.065591057111284,0,0,89.21,S
277,1,3,Person_276,female,1.6845739034592526,0,0,6.0,S
278,1,1,Person_277,male,31.010231111072244,1,0,3.85,S
279,1,2,Person_278,male,3.548290844579835,0,2,27.02,Q
280,1,3,Person_279,male,39.635972136778356,0,1,63.34,S
281,1,3,Person_280,female,27.677577997811962,0,1,20.75,S
282,0,3,Person_281,male,34.874539608337656,1,0,166.87,S
283,0,2,Person_282,male,16.905638551743273,0,1,36.38,S
284,0,3,Person_283,female,46.912509043208516,0,0,2.46,S
285,0,3,Person_284,male,43.58414529682392,2,0,158.02,S
286,0,3,Person_285,male,37.16962024216643,1,0,16.77,S
287,0,1,Person_286,male,27.18675854391183,2,0,10.84,S
288,0,3,Person_287,male,,0,0,26.12,S
289,0,3,Person_288,female,19.103504048177115,0,0,11.61,S
290,0,3,Person_289,male,40.97777922628997,1,0,2.89,S
291,0,2,Person_290,male,52.092732520534895,0,0,0.05,S
292,0,3,Person_291,female,43.98854783970861,1,0,19.11,S
293,1,3,Person_292,female,18.785565422696266,0,0,58.02,S
294,0,1,Person_293,female,34.05984244182344,0,0,27.18,S
295,0,3,Person_294,male,10.89601838737893,0,0,228.48,S
296,0,3,Person_295,male,37.01346435645946,0,1,10.82,S
297,1,1,Person_296,female,35.30844778007555,0,0,10.53,S
298,0,2,Person_297,female,2.8225712465497033,0,0,5.57,S
299,1,3,Person_298,male,,3,0,5.73,C
300,0,1,Person_299,male,25.03605544558726,0,0,10.74,C
301,0,3,Person_300,male,24.787963540028432,0,1,50.38,C
302,0,2,Person_301,female,12.067322904136727,1,0,75.58,S
303,0,3,Person_302,male,,0,0,118.16,S
304,1,1,Person_303,male,32.52063052516717,0,1,8.46,S
305,1,3,Person_304,male,,1,0,68.2,S
306,1,3,Person_305,female,18.418918997782917,0,0,12.73,S
307,0,3,Person_306,female,43.68189976983189,1,0,3.83,S
308,0,3,Person_307,male,52.17569958323614,1,0,65.29,C
309,1,1,Person_308,female,22.23013922614848,3,0,32.35,S
310,0,3,Person_309,female,20.429663159832508,0,0,5.76,S
311,0,1,Person_310,male,35.87690731576795,0,2,17.98,S
312,0,1,Person_311,male,23.987588683542192,0,0,10.84,S
313,0,2,Person_312,male,27.04843919071472,0,0,42.71,S
314,1,3,Person_313,female,,1,0,19.33,C
315,1,3,Person_314,male,2.269014774897901,0,2,145.14,S
316,1,3,Person_315,male,47.45623254793737,0,1,1.8,C
317,0,2,Person_316,female,30.01752734061078,1,0,14.03,S
318,0,2,Person_317,male,,0,0,21.04,C
319,0,3,Person_318,female,27.750721840899715,0,0,22.38,S
320,0,2,Person_319,male,28.474010970287264,0,0,12.15,S
321,0,3,Person_320,male,4.763181751771043,1,0,41.81,S
322,1,1,Person_321,female,,0,0,66.48,C
323,1,3,Person_322,female,29.57855885178866,1,0,89.35,Q
324,0,3,Person_323,male,,0,2,52.33,S
325,1,1,Person_324,female,42.3216967880366,1,0,60.83,S
326,1,1,Person_325,female,14.703725594155797,1,2,25.59,Q
327,0,3,Person_326,male,35.6286065864932,0,0,55.94,S
328,0,3,Person_327,female,25.25302472741689,0,0,11.57,S
329,0,2,Person_328,male,40.85479085303091,0,0,16.27,S
330,0,3,Person_329,male,1.0,1,0,12.2,S
331,0,1,Person_330,male,27.612679796622235,0,0,20.16,C
332,1,2,Person_331,female,20.560510819024536,0,0,10.76,C
333,0,3,Person_332,female,35.05168130887817,0,0,104.32,S
334,0,2,Person_333,male,35.580618623154834,0,0,12.01,S
335,0,3,Person_334,male,,0,1,3.3,C
336,0,2,Person_335,male,19.029565901535392,0,0,23.94,S
337,1,2,Person_336,male,,0,0,1.88,C
338,1,3,Person_337,female,16.447008817587086,1,0,3.75,S
339,0,2,Person_338,female,40.78777173632977,0,2,7.93,S
340,0,3,Person_339,male,23.831099193735753,0,0,19.98,Q
341,0,1,Person_340,female,1.0,2,0,18.17,S
342,0,1,Person_341,male,23.752491207294714,1,0,51.45,S
343,0,1,Person_342,female,14.460386508184387,2,0,43.04,S
344,0,3,Person_343,female,6.1621385835467635,0,2,17.78,S
345,0,2,Person_344,male,11.676027064883986,0,0,12.99,S
346,0,3,Person_345,male,,0,0,12.18,
347,1,3,Person_346,female,47.60097159547524,1,0,47.59,C
348,0,3,Person_347,male,33.38458263410972,0,0,1.71,S
349,0,1,Person_348,male,20.508952564979644,0,2,0.41,S
350,1,3,Person_349,male,35.382658732389835,0,0,50.8,S
351,0,3,Person_350,male,22.572735656934114,0,0,20.75,S
352,1,3,Person_351,male,,0,0,4.49,S
353,1,3,Person_352,female,12.838922644738219,0,0,8.6,C
354,0,3,Person_353,female,4.474396705475932,0,1,86.26,S
355,0,3,Person_354,male,23.541068108167764,0,0,62.8,C
356,1,1,Person_355,female,31.212748858881845,2,0,39.59,S
357,0,1,Person_356,male,27.647268619791543,1,2,21.06,S
358,0,3,Person_357,female,,2,0,23.51,S
359,1,3,Person_358,female,15.759555150245063,1,0,118.36,S
360,0,3,Person_359,male,37.51544668358956,0,0,107.99,S
361,0,3,Person_360,female,,0,2,7.76,Q
362,1,1,Person_361,male,39.86439079380865,0,0,53.33,S
363,0,1,Person_362,male,14.968961735025854,0,0,7.03,Q
364,0,3,Person_363,female,18.46590667705751,0,0,7.69,S
365,1,2,Person_364,male,8.465007331380523,0,0,36.07,Q
366,0,1,Person_365,male,,0,0,16.61,S
367,1,3,Person_366,male,42.6543744186917,0,0,85.81,Q
368,1,1,Person_367,female,,0,0,2.98,S
369,0,3,Person_368,male,42.69790956839249,0,0,22.93,C
370,0,2,Person_369,male,,1,0,80.24,C
371,0,3,Person_370,female,13.548622400574832,0,1,75.03,S
372,0,2,Person_371,female,24.3689508594142,0,2,5.45,S
373,0,3,Person_372,male,18.077212192355525,0,0,14.61,S
374,1,1,Person_373,male,47.62804865654657,0,0,30.89,Q
375,0,1,Person_374,male,12.244958950031638,0,0,5.56,S
376,0,2,Person_375,male,41.511767651447556,0,0,110.17,S
377,1,3,Person_376,male,41.50135418152277,0,1,78.79,S
378,0,3,Person_377,female,54.61468282402522,0,0,5.85,S
379,1,2,Person_378,female,23.264387703187037,2,0,4.13,C
380,0,3,Person_379,male,38.97251023412227,2,1,2.86,S
381,0,3,Person_380,male,60.9431257115438,0,0,76.86,S
382,1,3,Person_381,female,20.353016522928247,0,0,6.89,Q
383,1,1,Person_382,male,7.509436534546964,1,0,17.23,S
384,1,3,Person_383,female,2.6798595252913096,0,0,19.06,S
385,1,1,Person_384,male,,0,0,29.24,S
386,1,2,Person_385,male,,0,1,2.38,S
387,0,3,Person_386,female,23.787533258869082,2,1,8.23,S
388,0,1,Person_387,male,35.12238461854545,0,0,85.78,C
389,1,3,Person_388,female,,0,2,76.49,S
390,1,3,Person_389,male,34.956228098578414,1,0,48.64,S
391,1,3,Person_390,male,32.112057981211954,0,1,0.63,S
392,0,3,Person_391,female,46.9041213863875,0,0,12.67,S
393,0,1,Person_392,male,15.667570669656842,3,2,31.64,C
394,1,2,Person_393,female,,0,2,10.3,S
395,0,3,Person_394,male,18.182767766208464,0,0,76.91,S
396,1,1,Person_395,male,40.62268536607654,0,2,32.15,S
397,1,2,Person_396,female,41.60558023753089,0,1,2.39,S
398,0,1,Person_397,male,35.317154470459116,0,1,76.7,S
399,1,1,Person_398,male,45.56891133645899,0,0,101.27,S
400,1,2,Person_399,male,12.507427856730672,0,1,2.59,S
401,0,1,Person_400,male,52.34113756171592,1,1,24.32,C
402,1,3,Person_401,male,50.32534070397162,0,0,11.57,S
403,0,3,Person_402,female,39.298707961440456,0,2,15.97,C
404,1,3,Person_403,female,53.945184722794835,0,0,6.34,C
405,0,1,Person_404,female,,1,0,27.61,S
406,1,1,Person_405,female,,0,0,101.43,S
407,0,1,Person_406,female,18.705751550452668,0,0,22.38,S
408,0,3,Person_407,female,39.100710532602804,0,0,2.77,S
409,1,3,Person_408,male,14.298029645569962,0,0,30.96,S
410,0,1,Person_409,female,39.6049320907248,0,2,13.31,S
411,0,3,Person_410,female,48.187506015953986,1,0,62.0,S
412,1,1,Person_411,male,38.732840601175994,0,0,18.25,S
413,1,3,Person_412,male,32.97251433126102,0,0,6.86,S
414,0,3,Person_413,male,15.169773227389511,0,0,6.79,S
415,1,3,Person_414,male,,1,2,46.86,S
416,0,3,Person_415,female,46.494664674153334,0,0,9.88,S
417,0,3,Person_416,male,39.91088605467465,0,1,46.65,S
418,0,2,Person_417,male,28.453726728714383,0,0,7.38,S
419,1,3,Person_418,female,23.149266359277533,0,0,12.42,S
420,1,1,Person_419,male,1.0,0,0,20.04,S
421,1,3,Person_420,male,14.008066138417856,0,0,91.78,S
422,1,3,Person_421,male,,0,0,85.9,S
423,0,3,Person_422,female,11.073622005965465,0,0,7.42,C
424,0,3,Person_423,female,31.65271749709513,0,0,14.19,C
425,0,3,Person_424,male,,0,1,5.18,S
426,0,3,Person_425,female,,0,0,22.83,S
427,0,3,Person_426,male,31.585946646935167,1,0,19.75,S
428,1,1,Person_427,female,,2,0,73.93,C
429,0,1,Person_428,female,29.174990506701505,3,0,85.1,S
430,0,2,Person_429,female,69.15764277933476,1,1,15.48,Q
431,0,1,Person_430,male,5.639610375705267,0,0,21.66,S
432,1,3,Person_431,female,43.8221994183743,1,0,72.5,S
433,0,1,Person_432,female,26.5807756764495,0,2,52.59,Q
434,0,3,Person_433,male,39.806882167713454,0,0,0.12,S
435,0,2,Person_434,female,,0,0,12.34,S
436,1,1,Person_435,male,18.735813240460047,0,0,17.53,S
437,0,3,Person_436,female,32.20594949443076,1,0,8.35,S
438,1,3,Person_437,male,2.98937968042398,0,1,7.12,S
439,1,3,Person_438,female,37.445465007999516,0,1,1.23,S
440,0,3,Person_439,male,33.17421852386736,2,2,32.99,C
441,0,3,Person_440,male,,0,0,9.74,S
442,1,1,Person_441,male,,0,0,1.72,Q
443,0,3,Person_442,male,34.14667776293595,2,0,8.4,S
444,0,3,Person_443,male,31.073251877175867,0,0,51.81,S
445,1,3,Person_444,male,,0,0,61.03,S
446,1,1,Person_445,male,19.028909308913285,0,0,21.11,S
447,1,3,Person_446,male,45.614284682482634,0,0,17.22,S
448,1,1,Person_447,male,49.108695679883695,1,0,121.92,Q
449,0,1,Person_448,female,25.666453891631242,0,1,7.16,S
450,0,2,Person_449,male,,0,1,7.76,S
451,1,3,Person_450,female,16.335398750087275,0,0,11.04,S
452,0,3,Person_451,female,45.41859583374423,0,0,6.07,S
453,0,3,Person_452,female,38.315835531684904,2,0,15.26,C
454,1,3,Person_453,male,56.17704411049249,0,1,77.35,S
455,0,2,Person_454,female,,0,0,30.57,S
456,0,2,Person_455,male,23.707889413744958,0,0,16.99,S
457,0,2,Person_456,male,32.24024291535801,1,0,87.18,S
458,0,3,Person_457,male,38.050853528160786,2,0,1.59,S
459,0,1,Person_458,female,25.980653074333148,0,0,7.55,S
460,0,3,Person_459,male,16.778544733648197,0,1,26.7,S
461,0,3,Person_460,male,41.339705404929994,0,0,30.59,S
462,1,2,Person_461,female,39.09589507563814,1,0,1.29,S
463,1,3,Person_462,female,16.172162592107853,0,0,16.51,Q
464,0,3,Person_463,male,47.97619921547694,1,0,33.52,C
465,1,3,Person_464,male,45.38278192875245,0,1,38.32,S
466,0,3,Person_465,female,30.8801509614691,1,0,32.53,S
467,0,2,Person_466,male,,0,1,12.37,S
468,1,2,Person_467,male,36.7568087956227,0,0,3.14,S
469,0,3,Person_468,male,16.936157016412388,0,0,17.83,C
470,1,3,Person_469,female,29.42044070829715,0,0,4.41,S
